,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
18979,1016857,03/16/2015,130,Southwest,363,KIDNAPPING,36.0,F,B,STREET,"(34.0116, -118.3412)",3,16,2015,34.0116,-118.3412,2015-03-16,31.0
19078,1016963,03/19/2015,1130,Southwest,351,KIDNAPPING,63.0,F,B,STREET,"(34.0216, -118.3556)",3,19,2015,34.0216,-118.3556,2015-03-19,24.3
19220,1017123,03/23/2015,530,Southwest,331,ARSON,30.0,M,W,PARKING LOT,"(34.0256, -118.3471)",3,23,2015,34.0256,-118.3471,2015-03-23,22.6
19487,1017423,04/01/2015,300,Southwest,363,CRIMINAL HOMICIDE,52.0,M,B,SIDEWALK,"(34.0121, -118.3423)",4,1,2015,34.0121,-118.3423,2015-04-01,23.5
19642,1017596,04/04/2015,1840,Southwest,335,CRIMINAL HOMICIDE,38.0,M,B,ALLEY,"(34.0276, -118.3229)",4,4,2015,34.0276,-118.3229,2015-04-04,27.3
19700,1017662,04/01/2015,350,Southwest,354,ARSON,33.0,M,H,STREET,"(34.0229, -118.3224)",4,1,2015,34.0229,-118.3224,2015-04-01,23.4
19758,1017727,04/08/2015,1030,Southwest,321,KIDNAPPING,18.0,F,H,SINGLE FAMILY DWELLING,"(34.0249, -118.369)",4,8,2015,34.0249,-118.369,2015-04-08,21.4
19825,1017796,04/09/2015,1600,Southwest,376,KIDNAPPING,19.0,M,H,STREET,"(34.0182, -118.3002)",4,9,2015,34.0182,-118.3002,2015-04-09,23.6
20117,1018127,04/11/2015,17,Southwest,398,ARSON,21.0,M,O,"VEHICLE, PASSENGER/TRUCK","(34.0074, -118.285)",4,11,2015,34.0074,-118.285,2015-04-11,22.9
20119,1018130,04/19/2015,2117,Southwest,362,ARSON,23.0,F,H,STREET,"(34.015, -118.348)",4,19,2015,34.015,-118.348,2015-04-19,25.4
20154,1018165,04/17/2015,1951,Southwest,375,ARSON,58.0,M,H,YARD (RESIDENTIAL/BUSINESS),"(34.0147, -118.3111)",4,17,2015,34.0147,-118.3111,2015-04-17,27.8
20211,1018228,04/22/2015,2320,Southwest,331,ARSON,34.0,M,B,STREET,"(34.0256, -118.3471)",4,22,2015,34.0256,-118.3471,2015-04-22,18.8
20249,1018267,04/23/2015,2340,Southwest,331,CRIMINAL HOMICIDE,56.0,M,B,SIDEWALK,"(34.0326, -118.3471)",4,23,2015,34.0326,-118.3471,2015-04-23,19.2
20297,1018322,04/25/2015,100,Southwest,357,KIDNAPPING,25.0,M,A,SINGLE FAMILY DWELLING,"(34.0255, -118.2959)",4,25,2015,34.0255,-118.2959,2015-04-25,18.8
